Number,Prompt,,,
1,Let your gaze be soft.,,,
2,Practice all-inclusive awareness.,,,
3,Let your ribs be soft as you breathe.,,,
4,Let your front be long from your pubic bone to your supersternal notch.,,,
5,Let your shoulders be wide all the way across your collarbones.,,,
6,Let your neck be free.,,,
7,Let your neck be free so your head can move forward and up.,,,
8,"Let your neck be free so your head can move forward and up, your back can lengthen and widen, and your legs and arms can lengthen through your fingers and toes.",,,
9,Let your ribs be free.,,,
10,Let your eyes be free.,,,
11,Let your face be free.,,,
12,Let your jaw be free.,,,
13,Are you gripping the floor?,,,
14,Are you compressing your abdomen?,,,
15,Are you bending at your waist?,,,
16,Notice the space behind your head.,,,
17,Notice the space above your head.,,,
18,Notice the hair on the back of your head.,,,
19,Notice the hair on the top of your head.,,,
20,Notice the space behind your neck.,,,
21,Notice the hair on the back of your neck.,,,
22,Let your breath move.,,,
23,Let your body move.,,,
,,,,
24,Notice the space all around you.,,,
25,Notice what you can see in your periphery.,,,
26,How can I pay attention that will make me release just a little bit,,,
27,What can I pay attention that will make me release just a little bit,,,
28,What way of paying attention makes me more whole and complete and easier and more flexible,,,
29,What’s the least amount of effort I can use to initiate some Easing,,,
30,"What place am
I tightening ?",,,
31,What place is getting easier?,,,
32,Whisper the directions,,,
33,What’s the least amount I can ease or let go?,,,
34,Can you notice in such a way that you get easier?,,,
35,If you catch yourself noticing tension move awareness to the space above your head or to easeier place,,,
36,Where else do I seem to be easing a bit? ( if I notice tension does saying not here help?),,,
37,Are you pushing your pelvis forward?,,,
38,Are you drawing your shoulders together?,,,
39,Are you letting your feet rest on the ground?,,,
40,Are you leaning your pelvis to one side?,,,
41,Are you pushing your knees back?,,,
42,Are your shoulders lifted up or down?,,,
43,Anything you do you’ll eventually gave to undo,,,
44,Anything you do you’ll eventually gave to stop doing.,,,
